Artist,Song,Lyrics
Drake,Hotline Bling,"['You used to call me on my', 'You used to, you used to', 'Yeah', '[Chorus]', '[Chorus]', 'You used to call me on my cell phone', 'Late-night when you need my love', 'Call me on my cell phone', 'Late-night when you need my love', 'And I know when that hotline bling', 'That can only mean one thing', 'I know when that hotline bling', 'That can only mean one thing', '[Verse 1]', '[Verse 1]', 'Ever since I left the city, you', 'Got a reputation for yourself now', 'Everybody knows and I feel left out', 'Girl, you got me down, you got me stressed out', ""'Cause ever since I left the city, you"", ""Started wearin' less and goin' out more"", 'Glasses of champagne out on the dance floor', ""Hangin' with some girls I never seen before"", '[Chorus]', '[Chorus]', 'You used to call me on my cell phone', 'Late-night when you need my love', 'Call me on my cell phone', 'Late-night when you need my love', 'I know when that hotline bling', 'That can only mean one thing', 'I know when that hotline bling', 'That can only mean one thing', 'See Drake Live', 'Ever since I left the city, you, you, you', ""You and me, we just don't get along"", 'You make me feel like I did you wrong', ""Goin' places where you don't belong"", 'Ever since I left the city, you', 'You got exactly what you asked for', ""Runnin' out of pages in your passport"", ""Hangin' with some girls I've never seen before"", '[Chorus]', '[Chorus]', 'You used to call me on my cell phone', 'Late-night when you need my love', 'Call me on my cell phone', 'Late-night when you need my love', 'And I know when that hotline bling', 'That can only mean one thing', 'I know when that hotline bling', 'That can only mean one thing', '[Bridge]', '[Bridge]', 'These days, all I do is', ""Wonder if you're bendin' over backwards for someone else"", ""Wonder if you're rollin' up a Backwoods for someone else"", ""Doing things I taught you, gettin' nasty for someone else"", ""You don't need no one else"", ""You don't need nobody else, no"", 'Why you never alone?', ""Why you always touchin' road?"", 'Used to always stay at home', 'Be a good girl, you was in the zone', 'Yeah, you should just be yourself', ""Right now, you're someone else"", '[Chorus]', 'You used to call me on my cell phone', 'Late-night when you need my love', 'Call me on my cell phone', 'Late-night when you need my love', 'And I know when that hotline bling', 'That can only mean one thing', 'I know when that hotline bling', 'That can only mean one thing', '[Outro]', '[Outro]', 'Ever since I left the city—', '[Produced by Nineteen85]', '[Produced by Nineteen85]']"
Dua Lipa,Levitating,"['If you wanna run away with me, I know a galaxy', 'And I can take you\u2005for\u2005a ride', 'I had\u2005a premonition that we fell into\u2005a rhythm', ""Where the music don't stop for life"", 'Glitter in the sky, glitter in my eyes', 'Shining just the way I like', ""If you're feeling like you need a little bit of company"", 'You met me at the perfect time', '[Pre-Chorus]', '[Pre-Chorus]', 'You want me, I want you, baby', ""My sugarboo, I'm levitating"", ""The Milky Way, we're renegading"", 'Yeah, yeah, yeah, yeah, yeah', '[Chorus]', '[Chorus]', ""I got you, moonlight, you're my starlight"", 'I need you all night, come on, dance with me', ""I'm levitating"", ""You, moonlight, you're my starlight ("", 'I need you all night, come on, dance with me', ""I'm levitating"", '[Verse 2]', '[Verse 2]', ""I believe that you're for me, I feel it in our energy"", 'I see us written in the stars', ""We can go wherever, so let's do it now or never"", ""Baby, nothing's ever, ever too far"", 'Glitter in the sky, glitter in our eyes', 'Shining just the way we are', ""I feel like we're forever every time we get together"", ""But whatever, let's get lost on Mars"", 'See Dua Lipa Live', 'You want me, I want you, baby', ""My sugarboo, I'm levitating"", ""The Milky Way, we're renegading"", 'Yeah, yeah, yeah, yeah, yeah', '[Chorus]', '[Chorus]', ""I got you, moonlight, you're my starlight"", 'I need you all night, come on, dance with me', ""I'm levitating"", ""You, moonlight, you're my starlight ("", 'I need you all night, come on, dance with me', ""I'm levitating"", '[Post-Chorus]', '[Post-Chorus]', 'You can fly away with me tonight', 'You can fly away with me tonight', 'Baby, let me take you for a ride', 'Yeah, yeah, yeah, yeah, yeah', ""I'm levitating (Woo)"", 'You can fly away with me tonight', 'You can fly away with me tonight', 'Baby, let me take you for a ride', 'Yeah, yeah, yeah, yeah, yeah (Woo)', '[Bridge]', '[Bridge]', 'My love is like a rocket, watch it blast off', ""And I'm feeling so electric, dance my ass off"", ""And even if I wanted to, I can't stop"", 'Yeah, yeah, yeah, yeah, yeah', 'My love is like a rocket, watch it blast off', ""And I'm feeling so electric, dance my ass off"", ""And even if I wanted to, I can't stop"", 'Yeah, yeah, yeah, yeah, yeah', '[Pre-Chorus]', 'You want me, I want you, baby', ""My sugarboo, I'm levitating"", ""The Milky Way, we're renegading"", '[Chorus]', '[Chorus]', ""I got you (Yeah), moonlight, you're my starlight"", 'I need you all night (', ""I'm levitating (Woo)"", '[Post-Chorus]', '[Post-Chorus]', 'You can fly away with me tonight (', 'You can fly away with me tonight', 'Baby, let me take you for a ride', 'Yeah, yeah, yeah, yeah, yeah (', ""I'm levitating (Woo)"", 'You can fly away with me tonight (', 'You can fly away with me tonight', 'Baby, let me take you for a ride', 'Yeah, yeah, yeah, yeah, yeah (', '[Chorus]', '[Chorus]', ""I got you, moonlight, you're my starlight ("", 'I need you all night, come on, dance with me (', ""I'm levitating"", ""You, moonlight, you're my starlight ("", 'I need you all night, come on, dance with me', ""I'm levitating""]"
Post Malone,Circles,"['Oh, oh, oh', 'Oh,\u200a oh, oh', 'Oh,\u200a oh, oh, oh, oh', '[Verse 1]', '[Verse 1]', ""We couldn't turn around 'til we were upside down"", ""I'll be the bad guy now, but know I ain't too proud"", ""I\u200a couldn't be there even when I tried"", ""You\u200a don't believe it, we do this every time"", '[Chorus]', '[Chorus]', 'Seasons change and our love went cold', ""Feed\u200a the flame 'cause we can't let go"", ""Run away, but we're running in circles"", 'Run away, run away', 'I dare you to do something', ""I'm\u200a waiting on you again, so I don't take the blame"", ""Run away, but we're running in circles"", 'Run away, run away, run away', '[Verse 2]', '[Verse 2]', ""Let go, I got a feeling that it's time to let go"", 'I said so, I knew that this was doomed from the get-go', 'You thought that it was special, special', 'But it was just the sex, though, the sex, though', 'And I still hear the echoes (The echoes)', ""I got a feeling that it's time to let it go, let it go"", 'See Post Malone Live', 'Seasons change and our love went cold', ""Feed the flame 'cause we can't let go"", ""Run away, but we're running in circles"", 'Run away, run away', 'I dare you to do something', ""I'm waiting on you again, so I don't take the blame"", ""Run away, but we're running in circles"", 'Run away, run away, run away', '[Bridge]', '[Bridge]', ""Maybe you don't understand what I'm going through"", ""It's only me, what you got to lose?"", 'Make up your mind, tell me, what are you gonna do?', ""It's only me, let it go"", '[Chorus]', '[Chorus]', 'Seasons change and our love went cold', ""Feed the flame 'cause we can't let go"", ""Run away, but we're running in circles"", 'Run away, run away', 'I dare you to do something', ""I'm waiting on you again, so I don't take the blame"", ""Run away, but we're running in circles"", 'Run away, run away, run away']"
Billie Eilish,Bad Guy,"['White shirt now red, my bloody nose', ""Sleepin', you're on your tippy toes"", ""Creepin' around like no one knows"", ""Think you're so criminal"", 'Bruises on both my knees for you', ""Don't say thank you or please"", ""I do what I want when I'm wanting to"", 'My soul? So cynical', '[Chorus]', '[Chorus]', ""So you're a tough guy"", 'Like it really rough guy', ""Just can't get enough guy"", 'Chest always so puffed guy', ""I'm that bad type"", 'Make your mama sad type', 'Make your girlfriend mad tight', 'Might seduce your dad type', ""I'm the bad guy"", 'Duh', '[Post-Chorus]', '[Post-Chorus]', ""I'm the bad guy"", '[Verse 2]', '[Verse 2]', 'I like it when you take control', ""Even if you know that you don't"", ""Own me, I'll let you play the role"", ""I'll be your animal"", 'My mommy likes to sing along with me', ""But she won't sing this song"", 'If she reads all the lyrics', ""She'll pity the men I know"", 'You might also like', ""So you're a tough guy"", 'Like it really rough guy', ""Just can't get enough guy"", 'Chest always so puffed guy', ""I'm that bad type"", 'Make your mama sad type', 'Make your girlfriend mad tight', 'Might seduce your dad type', ""I'm the bad guy"", 'Duh', '[Post-Chorus]', '[Post-Chorus]', ""I'm the bad guy, duh"", ""I'm only good at bein' bad, bad"", '[Bridge]', '[Bridge]', 'I like when you get mad', ""I guess I'm pretty glad that you're alone"", ""You said she's scared of me?"", ""I mean, I don't see what she sees"", ""But maybe it's 'cause I'm wearing your cologne"", '[Outro]', '[Outro]', ""I'm a bad guy"", ""I'm, I'm a bad guy"", 'Bad guy, bad guy', ""I'm a bad""]"
Justin Bieber,Sorry,"['[Verse 1]', '[Verse 1]', 'You gotta go and get angry at all of my honesty', ""You know I try, but I don't do too well with apologies"", ""I hope I don't run out of time, could someone call a referee?"", ""'Cause I just need one more shot at forgiveness"", 'I know you know that I made those mistakes maybe once or twice', 'And by once or twice, I mean maybe a couple of hundred times', 'So let me, oh, let me redeem, oh, redeem, oh, myself tonight', ""'Cause I just need one more shot at second chances"", '[Chorus]', '[Chorus]', 'Yeah, is it too late now to say sorry?', ""'Cause I'm missing more than just your body"", 'Oh, is it too late now to say sorry?', 'Yeah, I know that I let you down', ""Is it too late to say I'm sorry now?"", '[Drop]', '[Drop]', ""I'm sorry, yeah"", 'Sorry, yeah', 'Sorry', 'Yeah, I know that I let you down', ""Is it too late to say I'm sorry now?"", 'You might also like', ""I'll take every single piece of the blame if you want me to"", 'But you know that there is no innocent one in this game for two', ""I'll go, I'll go and then you go, you go out and spill the truth"", 'Can we both say the words and forget this?', '[Chorus]', '[Chorus]', 'Yeah, is it too late now to say sorry?', ""'Cause I'm missing more than just your body"", 'Oh, is it too late now to say sorry?', 'Yeah, I know that I let you down', ""Is it too late to say I'm sorry now?"", ""I'm not just tryna get you back on me (Oh, no, no)"", ""'Cause I'm missing more than just your body (Your body)"", 'Oh, is it too late now to say sorry?', 'Yeah, I know that I let you down', ""Is it too late to say I'm sorry now?"", '[Drop]', '[Drop]', ""I'm sorry, yeah"", 'Sorry, oh', 'Sorry', 'Yeah, I know that I let you down (I know I let you down)', ""Is it too late to say I'm sorry now?"", ""I'm sorry, yeah"", 'Sorry, oh', 'Sorry', 'Yeah, I know that I let you down (I know I let you down)', ""Is it too late to say I'm sorry now?""]"
Imagine Dragons,Believer,"['First things first', ""I'ma say all the words inside my head"", ""I'm fired up and tired of"", 'The way that things have been, oh-ooh', 'The way that things have been, oh-ooh', '[Verse 2]', '[Verse 2]', 'Second things second', ""Don't you tell me what you think that I could be"", ""I'm the one at the sail"", ""I'm the master of my sea, oh-ooh"", 'The master of my sea, oh-ooh', '[Pre-Chorus]', '[Pre-Chorus]', 'I was broken from a young age', ""Taking my sulkin' to the masses"", 'Writing my poems for the few', ""That look at me, took to me, shook at me, feelin' me"", 'Singing from heartache from the pain', 'Taking my message from the veins', 'Speaking my lesson from the brain', 'Seeing the beauty through the...', '[Chorus]', '[Chorus]', 'Pain! You made me a, you made me a', 'Believer, believer', 'Pain! You break me down, you build me up', 'Believer, believer', 'Pain! Oh, let the bullets fly, oh, let them rain', 'My life, my love, my drive, it came from…', 'Pain! You made me a, you made me a', 'Believer, believer', 'You might also like', 'Third things third', 'Send a prayer to the ones up above', ""All the hate that you've heard"", 'Has turned your spirit to a dove, oh-ooh', 'Your spirit up above, oh-ooh', '[Pre-Chorus]', '[Pre-Chorus]', ""I was chokin' in the crowd"", 'Building my rain up in the cloud', 'Falling like ashes to the ground', 'Hoping my feelings, they would drown', ""But they never did, ever lived, ebbin' and flowin'"", ""Inhibited, limited 'til it broke open and rained down"", 'It rained down, like…', '[Chorus]', '[Chorus]', 'Pain! You made me a, you made me a', 'Believer, believer', 'Pain! You break me down, you build me up', 'Believer, believer', 'Pain! Oh, let the bullets fly, oh, let them rain', 'My life, my love, my drive, it came from…', 'Pain! You made me a, you made me a', 'Believer, believer', '[Verse 4]', 'Last things last', 'By the grace of the fire and the flames', ""You're the face of the future"", 'The blood in my veins, oh-ooh', 'The blood in my veins, oh-ooh', '[Pre-Chorus]', '[Pre-Chorus]', ""But they never did, ever lived, ebbin' and flowin'"", ""Inhibited, limited 'til it broke open and rained down"", 'It rained down, like…', '[Chorus]', '[Chorus]', 'Pain! You made me a, you made me a', 'Believer, believer', 'Pain! You break me down, you build me up', 'Believer, believer', 'Pain! Oh, let the bullets fly, oh, let them rain', 'My life, my love, my drive, it came from…', 'Pain! You made me a, you made me a', 'Believer, believer']"
Cardi B,WAP,"['Whores in this house', ""There's some whores in this house"", ""There's some whores in this house"", ""There's some\u2005whores\u2005in this house\u2005(Hol' up)"", 'I said certified freak, seven\u2005days a week', 'Wet-ass pussy, make that pullout game weak, woo (', '[Chorus: Cardi B]', '[Chorus: Cardi B]', 'Yeah, yeah, yeah, yeah', ""Yeah, you fuckin' with some wet-ass pussy"", 'Bring a bucket and a mop for this wet-ass pussy', 'Give me everything you got for this wet-ass pussy', '[Verse 1: Cardi B & ', '[Verse 1: Cardi B & ', 'Beat it up, nigga, catch a charge', 'Extra large and extra hard', 'Put this pussy right in your face', 'Swipe your nose like a credit card', 'Hop on top, I wanna ride', ""I do a kegel while it's inside"", 'Spit in my mouth, look in my eyes', 'This pussy is wet, come take a dive', ""Tie me up like I'm surprised"", ""Let's roleplay, I'll wear a disguise"", 'I want you to park that big Mack truck right in this little garage', 'Make it cream, make me scream', 'Out in public, make a scene', ""I don't cook, I don't clean"", 'But let me tell you how I got this ring (', 'You might also like', 'Gobble me, swallow me, drip down the side of me (Yeah)', ""Quick, jump out 'fore you let it get inside of me (Yeah)"", ""I tell him where to put it, never tell him where I'm 'bout to be (Huh)"", ""I'll run down on him 'fore I have a nigga runnin' me (Pow, pow, pow)"", 'Talk your shit, bite your lip (Yeah)', 'Ask for a car while you ride that dick (While you ride that dick)', ""You really ain't never gotta fuck him for a thang (Yeah)"", ""He already made his mind up 'fore he came (Ayy, ah)"", 'Now get your boots and your coat for this wet-ass pussy (Ah, ah, ah)', 'He bought a phone just for pictures of this wet-ass pussy (Click, click, click)', 'Paid my tuition just to kiss me on this wet-ass pussy (Mwah, mwah, mwah)', 'Now make it rain if you wanna see some wet-ass pussy (Yeah, yeah)', '[Verse 3: Cardi B & ', '[Verse 3: Cardi B & ', 'Look, I need a hard hitter, need a deep stroker', 'Need a Henny drinker, need a weed smoker', 'Not a garter snake, I need a king cobra', 'With a hook in it, hope it lean over', ""He got some money, then that's where I'm headed"", 'Pussy A1 just like his credit', ""He got a beard, well, I'm tryna wet it"", 'I let him taste it, now he diabetic', ""I don't wanna spit, I wanna gulp"", 'I wanna gag, I wanna choke', ""I want you to touch that lil' dangly thing that swing in the back of my throat"", 'My head game is fire, punani Dasani', ""It's goin' in dry and it's comin' out soggy"", 'I ride on that thing like the cops is behind me (', 'I spit on his mic and now he tryna sign me, woo', '[Verse 4: Megan Thee Stallion]', ""Your honor, I'm a freak bitch, handcuffs, leashes"", ""Switch my wig, make him feel like he cheatin'"", ""Put him on his knees, give him somethin' to believe in"", ""Never lost a fight, but I'm lookin' for a beatin' (Ah)"", ""In the food chain, I'm the one that eat ya"", ""If he ate my ass, he's a bottom-feeder"", 'Big D stand for big demeanor', 'I could make ya bust before I ever meet ya', ""If it don't hang, then he can't bang"", ""You can't hurt my feelings, but I like pain"", 'If he fuck me and ask ""Whose is it?""', ""When I ride the dick, I'ma spell my name, ah"", '[Chorus: Cardi B]', '[Chorus: Cardi B]', 'Yeah, yeah, yeah', ""Yeah, you fuckin' with some wet-ass pussy"", 'Bring a bucket and a mop for this wet-ass pussy', 'Give me everything you got for this wet-ass pussy', ""Now from the top, make it drop, that's some wet-ass pussy"", ""Now get a bucket and a mop, that's some wet-ass pussy"", ""I'm talkin' wap, wap, wap, that's some wet-ass pussy"", ""Macaroni in a pot, that's some wet-ass pussy, huh"", '[Outro: ', '[Outro: ', ""There's some whores in this house"", ""There's some whores in this house"", ""There's some whores in this house"", ""There's some whores in this house"", ""There's some whores in this house"", ""There's some whores in this house"", ""There's some whores in this house"", ""There's some whores in this house"", ""There's some whores in this house"", ""There's some whores in this house""]"
Bruno Mars,Uptown Funk,"['Doh', 'Doh-doh-doh, doh-doh-doh, doh-doh', 'Doh-doh-doh, doh-doh-doh, doh-doh', 'Doh-doh-doh, doh-doh-doh, doh-doh', 'Doh-doh-doh, doh-doh', '[Verse 1]', '[Verse 1]', 'This hit, that ice cold', 'Michelle Pfeiffer, that white gold', 'This one for them hood girls', 'Them good girls, straight masterpieces', ""Stylin', wilin', livin' it up in the city"", 'Got Chucks on with Saint Laurent', ""Gotta kiss myself, I'm so pretty"", '[Refrain]', '[Refrain]', ""I'm too hot (Hot damn)"", '(', 'Uh, call the police and the fireman', '(', ""I'm too hot (Hot damn)"", '(', 'Make a dragon wanna retire, man', ""I'm too hot (Hot damn)"", '(', 'Say my name, you know who I am', ""I'm too hot (Hot damn)"", '(', ""And my band 'bout that money,"", 'You might also like', 'Girls hit your hallelujah (Woo)', 'Girls hit your hallelujah (Woo)', 'Girls hit your hallelujah (Woo)', ""'Cause uptown funk gon' give it to you (Woo)"", ""('Cause uptown funk gon' give it to you)"", ""'Cause uptown funk gon' give it to you"", 'Saturday night and we in the spot', ""Don't believe me, just watch, come on"", '[Chorus]', '[Chorus]', 'Doh', 'Doh-doh-doh, doh-doh-doh, doh-doh', '(', ""Don't believe me, just watch, uh"", 'Doh-doh-doh, doh-doh-doh, doh-doh', '(', ""Don't believe me, just watch, uh"", ""Don't believe me, just watch, uh"", ""Don't believe me, just watch"", ""Don't believe me, just watch"", 'Hey, hey, hey, oh', '[Verse 2]', '[Verse 2]', 'Stop, wait a minute', 'Fill my cup, put some liquor in it', 'Take a sip, sign the check', 'Julio, get the stretch', 'Ride to Harlem, Hollywood, Jackson, Mississippi', ""If we show up, we gon' show out"", ""Smoother than a fresh jar o' Skippy"", '[Refrain]', ""I'm too hot (Hot damn)"", '(', 'Call the police and the fireman', '(', ""I'm too hot (Hot damn)"", '(', 'Make a dragon wanna retire, man', ""I'm too hot (Too hot, hot damn, hot damn)"", '(', 'Bitch, say my name, you know who I am', ""I'm too hot (Hot damn)"", '(', ""Uh, and my band 'bout that money,"", '[Pre-Chorus]', '[Pre-Chorus]', 'Girls hit your hallelujah (Woo)', 'Girls hit your hallelujah (Woo)', 'Girls hit your hallelujah (Woo)', ""'Cause uptown funk gon' give it to you (Woo)"", ""('Cause uptown funk gon' give it to you)"", ""'Cause uptown funk gon' give it to you"", 'Saturday night and we in the spot', ""Don't believe me, just watch, come on"", '[Chorus]', '[Chorus]', 'Doh', 'Doh-doh-doh, doh-doh-doh, doh-doh', '(', ""Don't believe me, just watch, uh"", 'Doh-doh-doh, doh-doh-doh, doh-doh', '(', ""Don't believe me, just watch, uh"", ""Don't believe me, just watch, uh"", ""Don't believe me, just watch"", ""Don't believe me, just watch"", 'Hey, hey, hey, oh', '[Bridge]', '(', '(', 'Before we leave', '(', ""Lemme tell y'all a lil' something"", 'Uptown funk you up, uptown funk you up', '(', 'Uptown funk you up, uptown funk you up, uh', '(', 'I said, uptown funk you up, uptown funk you up, uh', '(', 'Uptown funk you up, uptown funk you up, come on', '(', 'Dance, jump on it', '(', 'If you sexy, then flaunt it', 'If you freaky, then own it', '(', ""Don't brag about it, come show me, come on"", 'Dance, jump on it', '(', 'If you sexy, then flaunt it', ""Well, it's Saturday night and we in the spot"", ""Don't believe me, just watch, come on"", '[Chorus]', '[Chorus]', 'Doh', 'Doh-doh-doh, doh-doh-doh, doh-doh', '(', ""Don't believe me, just watch, uh"", 'Doh-doh-doh, doh-doh-doh, doh-doh', '(', ""Don't believe me, just watch, uh"", ""Don't believe me, just watch, uh"", ""Don't believe me, just watch"", ""Don't believe me, just watch"", 'Hey, hey, hey, oh', '[Outro]', '[Outro]', 'Uptown funk you up (Woo, come on)', '(', 'Uptown funk you up (Hey, say what?)', '(', 'Uptown funk you up (Hey)', '(', 'Uptown funk you up (Come on)', '(', 'Uptown funk you up (Woo, come on)', '(', 'Uptown funk you up (Hey, say what?)', 'Uptown funk you up (Hey)', 'Uptown funk you up (Come on)', '(', 'Uptown funk you up (Woo, come on)', '(', 'Uptown funk you up (Hey, say what?)', 'Uptown funk you up (Hey)', '(', 'Uptown funk you up (Come on)', '(', 'Uptown funk you up (Ah)', '(', 'Uptown funk you up (Say what?)', 'Uptown funk you up', 'Aw, ow']"
Shawn Mendes,Senorita,"['I love it when you call me señorita', ""I wish I could pretend I didn't need ya"", 'But every touch is ooh-la-la-la', ""It's true, la-la-la"", ""Ooh, I should be runnin'"", 'Ooh, you keep me coming for ya', '[Verse 1: Shawn Mendes]', '[Verse 1: Shawn Mendes]', 'Land in Miami', 'The air was hot from summer rain', ""Sweat drippin' off me"", 'Before I even knew her name, la-la-la', 'It felt like ooh-la-la-la, yeah, no', 'Sapphire moonlight', 'We danced for hours in the sand', 'Tequila Sunrise', 'Her body fit right in my hands, la-la-la', 'It felt like ooh-la-la-la, yeah', '[Chorus: Camila Cabello & Shawn Mendes, ', '[Chorus: Camila Cabello & Shawn Mendes, ', 'I love it when you call ', ""I wish I could pretend I didn't need ya"", 'But every touch is ooh-la-la-la', ""It's true, la-la-la"", ""Ooh, I should be runnin'"", 'Ooh, you know I love it when you call ', ""I wish it wasn't so damn hard to leave ya"", 'But every touch is ooh-la-la-la', ""It's true, la-la-la"", ""Ooh, I should be runnin'"", 'Ooh, you keep me coming for ya', 'You might also like', 'Locked in the hotel', ""There's just some things that never change"", 'You say ', ""But friends don't know the way you taste, la-la-la ("", ""'Cause you know it's been a long time coming"", ""Don't ya let me fall, oh"", 'Ooh, when your lips undress me, hooked ', 'Ooh, love', '[Chorus: Both, ', '[Chorus: Both, ', 'I love it when you call ', ""I wish I could pretend I didn't need ya"", 'But every touch is ooh-la-la-la', ""It's true, la-la-la"", ""Ooh, I should be runnin'"", 'Ooh, you know I love it when you call ', ""I wish it wasn't so damn hard to leave ya ("", 'But every touch is ooh-la-la-la', ""It's true, la-la-la ("", ""Ooh, I should be runnin'"", 'Ooh, you keep me coming for ya', '[Outro: Both, ', '[Outro: Both, ', ""All along, I've been coming for ya ("", 'And I hope it meant something to you (', ""Call my name, I'll be coming for ya ("", 'Coming for ya (', 'For ya', 'For ya (', 'For ya', ""Ooh, I should be runnin'"", 'Ooh, you keep me coming for ya']"
Katy Perry,Firework,"['Do you ever feel like a plastic bag', 'Drifting through the wind, wanting to start again?', 'Do you ever feel, feel so paper-thin', ""Like a house of cards, one blow from cavin' in?"", 'Do you ever feel already buried deep?', 'Six feet under screams, but no one seems to hear a thing', ""Do you know that there's still a chance for you?"", ""'Cause there's a spark in you"", '[Pre-Chorus]', '[Pre-Chorus]', 'You just gotta ignite the light', 'And let it shine', 'Just own the night', 'Like the Fourth of July', '[Chorus]', '[Chorus]', ""'Cause baby, you're a firework"", ""Come on show 'em what you're worth"", 'Make \'em go, ""Awe, awe, awe""', 'As you shoot across the sky-y-y', ""Baby, you're a firework"", 'Come on, let your colors burst', 'Make \'em go, ""Awe, awe, awe""', ""You're gonna leave 'em all in awe, awe, awe"", 'You might also like', ""You don't have to feel like a waste of space"", ""You're original, cannot be replaced"", 'If you only knew what the future holds', 'After a hurricane comes a rainbow', 'Maybe a reason why all the doors are closed', 'So you could open one that leads you to the perfect road', 'Like a lightning bolt, your heart will glow', ""And when it's time, you'll know"", '[Pre-Chorus]', '[Pre-Chorus]', 'You just gotta ignite the light', 'And let it shine', 'Just own the night', 'Like the Fourth of July', '[Chorus]', '[Chorus]', ""'Cause baby, you're a firework"", ""Come on, show 'em what you're worth"", 'Make \'em go, ""Awe, awe, awe""', 'As you shoot across the sky-y-y', ""Baby, you're a firework"", 'Come on, let your colors burst', 'Make \'em go, ""Awe, awe, awe""', ""You're gonna leave 'em all in awe, awe, awe"", '[Bridge]', '""Boom, boom, boom""', 'Even brighter than the moon, moon, moon', ""It's always been inside of you, you, you"", ""And now it's time to let it throu-ou-ough"", '[Chorus]', '[Chorus]', ""'Cause baby, you're a firework"", ""Come on show 'em what you're worth"", 'Make \'em go, ""Awe, awe, awe,""', 'As you shoot across the sky-y-y', ""Baby, you're a firework"", 'Come on, let your colors burst', 'Make \'em go, ""Awe, awe, awe""', ""You're gonna leave 'em all in awe, awe, awe"", '[Outro]', '[Outro]', '""Boom, boom, boom""', 'Even brighter than the moon, moon, moon', '""Boom, boom, boom""', 'Even brighter than the moon, moon, moon']"
Sia,Chandelier,"[""Party girls don't get hurt"", ""Can't feel anythin', when will I learn?"", 'I push it down, I push it down', ""I'm the one for a good time call"", ""Phone's blowin' up, ringin' my doorbell"", 'I feel the love, I feel the love', '[Pre-Chorus]', '[Pre-Chorus]', 'One, two, three, one, two, three, drink', 'One, two, three, one, two, three, drink', 'One, two, three, one, two, three, drink', ""Throw 'em back 'til I lose count"", '[Chorus]', '[Chorus]', ""I'm gonna swing from the chandelier"", 'From the chandelier', ""I'm gonna live like tomorrow doesn't exist"", ""Like it doesn't exist"", ""I'm gonna fly like a bird through the night"", 'Feel my tears as they dry', ""I'm gonna swing from the chandelier"", 'From the chandelier', '[Post-Chorus]', '[Post-Chorus]', ""But I'm holdin' on for dear life"", ""Won't look down, won't open my eyes"", ""Keep my glass full until mornin' light"", ""'Cause I'm just holdin' on for tonight"", ""Help me, I'm holdin' on for dear life"", ""Won't look down, won't open my eyes"", ""Keep my glass full until mornin' light"", ""'Cause I'm just holdin' on for tonight, on for tonight"", 'You might also like', ""Sun is up, I'm a mess"", 'Gotta get out now, gotta run from this', 'Here comes the shame, here comes the shame', '[Pre-Chorus]', '[Pre-Chorus]', 'One, two, three, one, two, three, drink', 'One, two, three, one, two, three, drink', 'One, two, three, one, two, three, drink', ""Throw 'em back 'til I lose count"", '[Chorus]', '[Chorus]', ""I'm gonna swing from the chandelier"", 'From the chandelier', ""I'm gonna live like tomorrow doesn't exist"", ""Like it doesn't exist"", ""I'm gonna fly like a bird through the night"", 'Feel my tears as they dry', ""I'm gonna swing from the chandelier"", 'From the chandelier', '[Post-Chorus]', '[Post-Chorus]', ""But I'm holdin' on for dear life"", ""Won't look down, won't open my eyes"", ""Keep my glass full until mornin' light"", ""'Cause I'm just holdin' on for tonight"", ""Help me, I'm holdin' on for dear life"", ""Won't look down, won't open my eyes"", ""Keep my glass full until mornin' light"", ""'Cause I'm just holdin' on for tonight, on for tonight"", '[Outro]', 'On for tonight', ""'Cause I'm just holdin' on for tonight"", ""Oh, I'm just holdin' on for tonight"", 'On for tonight, on for tonight', ""'Cause I'm just holdin' on for tonight"", ""'Cause I'm just holdin' on for tonight"", ""Oh, I'm just holdin' on for tonight"", 'On for tonight, on for tonight']"
